,Hu0,a,error,skew,median,duration,r_value,p_value,swp
1605,0.748,0.096,2.940618504,0.4699337544,5.766666667,7.44484127,0.5085916987,1.23E-27,26.69527987
1606,0.748,0.1,3.015141552,0.1424063197,5.666666667,7.453759398,0.5154775472,1.82E-28,26.71190476
1607,0.748,0.104,3.166781389,0.1845438134,5.616666667,7.460609858,0.560411777,2.26E-34,26.71146617
1608,0.748,0.108,3.132703962,0.1736402499,5.466666667,7.478028404,0.5671738747,2.43E-35,26.6933584
1609,0.748,0.112,1.899025076,0.1409775011,5.416666667,7.490559733,0.5723910236,4.19E-36,26.70770677
1610,0.748,0.116,2.200160833,-0.01788987683,5.35,7.501503759,0.6218520374,4.57E-44,26.71307435
1611,0.748,0.12,3.899633185,-0.1078243278,5.266666667,7.512531328,0.6220297337,4.25E-44,26.70969089
1612,0.748,0.124,3.906991998,0.004419572056,5.25,7.522807018,0.6393459488,3.09E-47,26.70680869
1613,0.748,0.128,3.857648574,0.03865891293,5.183333333,7.534252297,0.6679225011,6.98E-53,26.73811612
1614,0.748,0.132,3.866317446,-0.08360723569,5.116666667,7.551963241,0.6773894819,6.80E-55,26.74550961
1615,0.748,0.136,2.700192328,-0.168060832,5.1,7.561654135,0.6782917178,4.34E-55,26.74933166
1616,0.748,0.14,2.679679446,-0.1467196945,5.066666667,7.571345029,0.7154066582,8.55E-64,26.73709273
1617,0.748,0.144,3.634342033,-0.208717665,5,7.580116959,0.7054688974,2.49E-61,26.71842105
1618,0.748,0.148,3.864125835,-0.06692204513,4.983333333,7.594486216,0.7361671742,2.67E-69,26.67967836
1619,0.748,0.152,4.752896291,-0.1449050824,4.95,7.603675856,0.7273510686,6.71E-67,26.7005848
1620,0.748,0.156,3.579826933,-0.1891632404,4.866666667,7.626566416,0.767456703,1.16E-78,26.7089599
1621,0.748,0.16,3.571322211,-0.0378946221,4.866666667,7.632748538,0.7561726139,4.03E-75,26.71200919
1622,0.748,0.164,3.571483056,-0.151428437,4.85,7.649289891,0.7607427573,1.57E-76,26.73934837
1623,0.748,0.168,3.688983959,-0.1318013363,4.8,7.648538012,0.7800060673,7.70E-83,26.73120301
1624,0.748,0.172,3.578014742,-0.09753303962,4.8,7.657811195,0.7805437369,5.03E-83,26.73126566
1625,0.748,0.176,4.883974491,-0.1798119844,4.766666667,7.666917293,0.7826556841,9.31E-84,26.73389724
1626,0.748,0.18,3.636426736,-0.2030006768,4.75,7.681704261,0.8008358127,2.01E-90,26.74684628
1627,0.748,0.184,4.819718372,-0.2105665229,4.716666667,7.69924812,0.7951184709,2.96E-88,26.70687135
1628,0.748,0.188,4.811474332,-0.1573146396,4.683333333,7.71754386,0.8170655087,5.50E-97,26.68212197
1629,0.748,0.192,4.821753042,-0.112263631,4.666666667,7.71679198,0.8098748777,5.32E-94,26.72936508
1630,0.748,0.196,4.787138111,-0.2445046051,4.666666667,7.732497911,0.8294828237,1.82E-102,26.72631579
1631,0.748,0.2,4.835515478,-0.197950042,4.633333333,7.74619883,0.8166388575,8.34E-97,26.72637845
1632,0.756,0,0.8228172139,0.2189741528,10.66666667,7.90497076,0.07767820524,0.1213590451,27.05110693
1633,0.756,0.004,0.7163933793,0.2615056812,10.15,7.897556391,0.01678888976,0.7381311294,27.08214286
1634,0.756,0.008,0.7216275609,0.3302418704,10.28333333,7.889055973,0.1075768302,0.03168661329,27.03680033
1635,0.756,0.012,0.7990391663,0.2569763706,9.8,7.883040936,0.06063495589,0.226857073,27.05572264
1636,0.756,0.016,0.8161699657,0.219763705,10.1,7.879260652,0.06182108968,0.2178818839,27.02994987
1637,0.756,0.02,0.9073413904,0.2366566943,9.883333333,7.870509607,0.0826129611,0.09938691578,27.06622807
1638,0.756,0.024,0.8762129265,0.2562067646,10.28333333,7.86547619,0.03447263539,0.4923133317,27.06426483
1639,0.756,0.028,0.8425838798,0.1917361973,10.025,7.848997494,0.04293277833,0.3923931404,27.07063492
1640,0.756,0.032,0.8612023325,0.150323625,10.05,7.842188805,0.01918639451,0.7024014937,27.06138262
1641,0.756,0.036,1.045949888,0.1617665119,10.23333333,7.830325815,0.01880839559,0.7079937916,27.06608187
1642,0.756,0.04,1.659584724,0.1951853575,10.16666667,7.775,-0.1131643052,0.0237822026,27.03134921
1643,0.756,0.044,1.930331115,0.1166165573,10.28333333,7.75914787,-0.04406613319,0.3800059889,27.08243525
1644,0.756,0.048,1.5098944,0.3703424861,9.783333333,7.702777778,-0.07053788061,0.159627704,27.05039683
1645,0.756,0.052,2.189103524,0.5660607645,9.366666667,7.631370092,-0.02237213808,0.6559318394,27.04943609
1646,0.756,0.056,2.185385764,0.6598461956,8.816666667,7.593922306,0.03933719558,0.433276033,27.0605472
1647,0.756,0.06,1.924908685,0.8942765616,8.45,7.524352548,0.09963087879,0.04671971005,27.0573726
1648,0.756,0.064,5.86061809,1.410817929,8.15,7.46505848,0.07453113519,0.1372380912,27.07067669
1649,0.756,0.068,1.95423782,1.416577483,7.65,7.436716792,0.2002138919,5.64E-05,27.04340017
1650,0.756,0.072,6.874226708,1.630484964,7.383333333,7.407163743,0.1266149167,0.01136109354,27.04220969
1651,0.756,0.076,5.911204887,1.568266109,7.1,7.38015873,0.2392635342,1.33E-06,27.04906015
1652,0.756,0.08,5.351083931,1.535281533,6.683333333,7.37593985,0.2973587967,1.37E-09,27.05271512
1653,0.756,0.084,3.11186148,1.116070698,6.616666667,7.383751044,0.3466909504,1.04E-12,27.05921053
1654,0.756,0.088,5.080411607,1.736658436,6.383333333,7.393045113,0.3241746741,3.24E-11,27.06844194
1655,0.756,0.092,5.060624987,2.352054836,6.283333333,7.387426901,0.3439512955,1.60E-12,27.08333333
1656,0.756,0.096,5.209084325,0.3762126364,6.133333333,7.404908104,0.4765607707,5.15E-24,27.07974102
